#covid,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,1.0,1.0,311890.0,220970.5,2.3069349232113642e-07,4.7758639299056e-07
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,2.0,2.0,114715.0,67359.5,4.672138519562828e-07,9.824085021561406e-07
2020-02-18,,,,,,
2020-02-19,1.0,0.0,309089.5,414088.0,2.3443146501614409e-07,0.0
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,1.0,0.0,297697.0,397253.0,2.2038674347291604e-07,0.0
2020-02-23,3.0,2.0,78624.5,68359.5,6.387847078347796e-07,9.263191827271114e-07
2020-02-24,1.0,1.0,306899.5,219271.0,2.203501760928432e-07,4.6467257079635115e-07
2020-02-25,6.0,2.0,42194.0,69859.0,1.3612174184103295e-06,9.18872726938592e-07
2020-02-26,8.0,3.0,33078.0,44853.5,1.6605461702408536e-06,1.3922231343861943e-06
2020-02-27,20.0,2.0,15372.5,70751.5,4.3328147676192295e-06,9.040471478668556e-07
2020-02-28,31.0,7.0,10431.5,20286.0,6.602345621718395e-06,3.205091516809561e-06
2020-02-29,7.0,3.0,38143.0,45337.5,1.4919456249760225e-06,1.3419738556653441e-06
2020-03-01,7.0,1.0,38776.0,218570.0,1.4426597369536674e-06,4.560520847965005e-07
2020-03-02,8.0,1.0,34358.0,222922.5,1.623278462463106e-06,4.408090432856848e-07
2020-03-03,10.0,4.0,28811.5,35423.5,2.016924416160889e-06,1.7243609087381992e-06
2020-03-04,5.0,3.0,50604.5,46246.0,1.0374246803746428e-06,1.3028150358751827e-06
2020-03-05,5.0,2.0,50056.0,70491.5,1.0784054696725422e-06,9.028045170921207e-07
2020-03-06,7.0,2.0,37536.0,70314.5,1.49928794531797e-06,9.083621549075399e-07
2020-03-07,13.0,8.0,20823.0,16604.5,3.0955587066755727e-06,3.963582603043239e-06
2020-03-08,17.0,5.0,17952.5,27972.5,3.7264831512544442e-06,2.3041209202658957e-06
2020-03-09,11.0,1.0,25548.0,220712.0,2.3858081719135286e-06,4.570258585230752e-07
2020-03-10,10.0,4.0,28343.5,34933.0,2.140041765055087e-06,1.7348950280077115e-06
2020-03-11,23.0,9.0,14501.5,17002.5,4.677415910738635e-06,3.7739805011007445e-06
2020-03-12,17.0,8.0,19565.0,19349.0,3.2310963756221766e-06,3.183902190524707e-06
2020-03-13,20.0,8.0,17269.5,19802.0,3.643659567785458e-06,3.0880960459632214e-06
2020-03-14,41.0,13.0,9175.0,12293.5,7.694735937307047e-06,5.444273671073736e-06
2020-03-15,34.0,6.0,11126.5,25155.0,5.937546441654613e-06,2.427753102364996e-06
2020-03-16,26.0,7.0,13702.5,22233.0,4.7953191782888615e-06,2.731092355009233e-06
2020-03-17,35.0,14.0,11175.5,12605.0,6.187044611420013e-06,5.137765512382015e-06
2020-03-18,22.0,12.0,16443.0,14696.0,3.7871856442252404e-06,4.323193283486915e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
