#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,1.0,1.0,122708.0,82325.0,3.323184328394417e-07,8.119802818708352e-07
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,1.0,1.0,122837.5,81836.5,3.176828971917785e-07,8.052664425341734e-07
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,1.0,1.0,130325.0,88777.0,3.018626434413549e-07,7.235905721937169e-07
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,1.0,0.0,122917.0,154555.5,3.3163041117196534e-07,0.0
2020-02-29,1.0,0.0,128093.5,160917.5,3.224841079831586e-07,0.0
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,1.0,1.0,122504.5,81705.0,3.246327429778692e-07,8.099717238871191e-07
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,1.0,0.0,125820.5,158460.5,3.2165034934444454e-07,0.0
2020-03-07,3.0,2.0,43255.0,35015.0,8.397525417210057e-07,1.343113888670633e-06
2020-03-08,3.0,2.0,44033.5,38325.5,8.389709853071009e-07,1.3020273868440548e-06
2020-03-09,9.0,7.0,18386.0,12328.0,2.365474791529393e-06,4.405258620147136e-06
2020-03-10,7.0,4.0,22982.5,19792.0,1.7433799504830284e-06,2.4261142081132896e-06
2020-03-11,6.0,6.0,26286.5,14952.0,1.5319753903473297e-06,3.431591228852819e-06
2020-03-12,11.0,8.0,18911.5,13794.5,2.4167883299882784e-06,3.717686335086223e-06
2020-03-13,25.0,11.0,9840.0,10511.0,5.678096447692013e-06,5.32469764188504e-06
2020-03-14,12.0,6.0,17923.0,17834.5,2.515921062976649e-06,2.6726819829162172e-06
2020-03-15,41.0,12.0,7445.5,10796.0,8.379932228831014e-06,5.17611516166086e-06
2020-03-16,52.0,13.0,6448.0,10586.0,1.030123587096355e-05,5.258621003498602e-06
2020-03-17,12.0,7.0,18379.0,16875.5,2.315976377040954e-06,2.8646904395049e-06
2020-03-18,28.0,15.0,10230.5,9487.5,5.021743251539299e-06,6.018387377114561e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
