covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,3.0,0.0,14202.5,57467.5,6.6906787693611525e-06,0.0
2020-02-26,3.0,0.0,14306.5,56414.0,6.3924722247081825e-06,0.0
2020-02-27,1.0,1.0,46048.5,27144.0,2.1892952220821077e-06,7.5943983717609894e-06
2020-02-28,,,,,,
2020-02-29,4.0,0.0,10450.5,55363.5,9.784496465350653e-06,0.0
2020-03-01,,,,,,
2020-03-02,2.0,0.0,20003.5,56689.5,4.378676720108416e-06,0.0
2020-03-03,1.0,0.0,47075.0,57914.0,2.2034245624549675e-06,0.0
2020-03-04,1.0,1.0,47874.0,28083.5,1.978622957566452e-06,7.230135203528307e-06
2020-03-05,2.0,0.0,20653.5,57839.0,4.211891855464719e-06,0.0
2020-03-06,1.0,0.0,46126.0,56957.0,2.0432181503154734e-06,0.0
2020-03-07,,,,,,
2020-03-08,2.0,1.0,19897.5,26380.0,4.408549058333921e-06,7.386397210896412e-06
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,8.0,3.0,6709.5,4336.5,1.188997021562461e-05,2.0580366330520686e-05
2020-03-12,3.0,0.0,15528.0,59302.5,5.384932957584678e-06,0.0
2020-03-13,7.0,0.0,8427.0,60786.0,1.1516434775026444e-05,0.0
2020-03-14,2.0,2.0,21283.0,7046.5,3.5475963261092445e-06,1.4765487150334808e-05
2020-03-15,4.0,1.0,11370.5,28238.0,7.74818401937046e-06,7.074637424831978e-06
2020-03-16,1.0,0.0,50006.0,60860.5,1.7640853393923785e-06,0.0
2020-03-17,11.0,1.0,5407.0,30605.5,1.7606732814628312e-05,6.26150551638636e-06
2020-03-18,10.0,1.0,5402.5,29786.0,1.9778011597826e-05,6.582888439789611e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
